frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
85,1.4177000000000002,123.984,0.622,7.124,160.08153792187,172.6826098051722,132.69795782782933,160.0,137.09383096405352,88.17741451530279,31.07,38.684,102.444,126.275,129.947,146.605,148.385,139.538,0.006,0.008
86,1.4344,124.476,0.656,5.462,158.57112552743797,172.53832248109515,135.89995735501367,160.0,136.14200864433906,85.7689333924936,25.288,38.258,98.54,123.449,134.466,150.0,145.443,142.81,0.007,0.007
87,1.4511,121.569,0.236,2.799,157.21773356503013,172.47386402792893,139.36577909666664,160.0,134.84083324670075,83.51064100653055,27.287,36.798,99.061,121.453,134.984,150.0,143.431,137.405,0.007,0.007
88,1.4678000000000002,120.252,0.22,2.035,156.10171009548253,172.4419005478166,142.91249291964428,160.0,132.86070036693377,81.80799488458703,28.56,36.802,101.088,119.265,135.51,150.0,145.257,140.098,0.007,0.007
89,1.4844000000000002,118.997,0.026,1.379,155.36028108571054,172.31910006714787,146.35467798433655,160.0,129.97682882482556,80.80611795390156,27.967,31.996,99.736,115.06,142.149,150.0,143.251,138.047,0.009,0.005
90,1.5010999999999999,118.883,0.281,0.521,155.16642983760815,172.0714584765875,149.562595803822,160.0,126.16222959312415,80.39595169816997,31.14,27.409,102.396,110.322,142.398,150.0,140.719,133.639,0.011,0.004
91,1.5178,118.694,0.506,0.211,155.61501728473564,171.87283809177174,152.44758231938533,160.0,121.48672841856407,80.28699794072266,30.713,25.845,102.11,109.494,141.157,150.0,143.132,139.271,0.009,0.005
92,1.5345000000000002,120.923,0.94,0.739,156.62553951672226,171.99060909216274,154.92882581714412,160.0,115.99584257616857,80.09313102330188,32.304,23.773,104.535,106.123,144.603,150.0,139.868,149.204,0.012,0.005
93,1.5512,121.887,1.171,0.895,157.95574647589183,172.56004429024614,156.9216445774823,160.0,109.69817880246386,79.48845690328432,32.273,18.801,104.833,100.706,143.939,150.0,143.359,155.235,0.011,0.005
94,1.5678000000000003,125.397,1.161,1.664,159.3141719615595,173.49797298951592,158.3604897678948,160.0,102.64617440289797,78.42291694739406,32.922,15.919,106.199,97.271,144.38,150.0,142.724,157.108,0.011,0.005
95,1.5845,136.095,1.184,2.576,160.49062156081067,174.59639266953698,159.2555815686226,160.0,95.06137343761748,77.1992841159418,32.78,13.494,105.383,94.488,145.357,150.0,147.633,158.324,0.01,0.004
96,1.6012000000000002,133.928,1.241,4.121,161.4168977149264,175.6348472696902,159.71836509698144,160.0,87.44270188508261,76.27805725429508,32.367,11.149,105.881,91.367,145.844,150.0,148.008,158.833,0.011,0.005
97,1.6179,132.929,1.215,5.344,162.1225971289611,176.40094021151714,159.9127601909617,160.0,80.55624695806455,76.00367516952217,32.151,13.104,104.971,92.601,144.033,150.0,143.012,154.052,0.012,0.005
98,1.6345000000000003,131.605,1.387,6.299,162.64709994821618,176.66421646701204,159.97817344551322,160.0,75.21458467823452,76.52933595058286,30.733,15.26,103.194,94.341,142.395,150.0,138.705,156.115,0.012,0.005
99,1.6512,126.499,1.416,7.442,163.00917377370678,176.19798132057133,159.99563557547503,160.0,71.90152602925698,77.91602733516876,28.528,13.512,101.642,91.305,142.492,150.0,141.52,157.511,0.011,0.005
100,1.6679000000000002,126.754,1.867,10.111,163.24262104441306,174.87390486860474,159.99933686153412,160.0,70.51424766822443,80.1674980451248,28.202,15.991,101.154,92.919,140.983,150.0,139.718,159.292,0.011,0.004
101,1.6846000000000003,128.915,1.929,10.575,163.40969850377158,172.76324737936693,159.99995991714258,160.0,70.48276852855773,83.13561716981232,28.115,20.907,102.293,97.018,141.181,150.0,141.312,136.905,0.011,0.004
102,1.7013,134.855,2.269,12.0,163.54538345601512,170.14930013127622,160.0,160.0,71.20919597932183,86.47744594620058,28.798,21.534,102.746,98.276,141.194,150.0,138.766,137.909,0.012,0.003
103,1.7179,135.294,2.395,12.259,163.59372386373735,167.42001230314597,160.0,160.0,72.49844390131612,89.808373815865,28.24,22.652,101.962,99.901,141.93,150.0,136.61,145.269,0.012,0.002
104,1.7346000000000001,135.763,2.349,12.065,163.4209521733336,164.91904784402732,160.0,159.99981624786886,74.65667295395284,92.9459675526924,27.711,22.005,101.891,98.629,142.837,150.0,137.17,143.473,0.012,0.003
105,1.7513000000000003,139.008,2.32,11.784,162.91775609554116,162.86306056815513,160.0,159.9979192935628,78.13279563429009,96.015491564994,28.236,21.797,102.14,98.498,145.313,150.0,134.758,144.731,0.014,0.004
106,1.768,138.185,2.479,12.398,162.10781658209532,161.3586110281158,160.0,159.98672503983428,82.93373785349331,99.34507145691205,29.397,26.198,103.206,102.772,146.317,150.0,135.309,134.112,0.014,0.003
107,1.7847000000000002,136.266,2.651,13.965,161.15813640946703,160.46537845575003,159.99985465781907,159.93500894726563,88.34088616040594,103.28493303786655,30.927,26.2,104.042,103.737,146.352,150.0,133.306,134.921,0.015,0.003
108,1.8013000000000001,137.882,2.585,15.342,160.28205576673167,160.25001182328552,159.99905224992747,159.74567706564903,93.23601241685128,108.09305888269918,31.873,27.259,105.396,105.869,146.168,150.0,134.882,134.014,0.014,0.003
109,1.8180000000000003,134.114,2.374,15.439,159.62946608244982,160.79074679549058,159.99518692798915,159.18647463370664,96.7251492060361,113.88926238404953,31.255,23.419,104.786,104.715,145.623,150.0,135.647,129.433,0.014,0.004
110,1.8347,133.721,2.219,15.011,159.24659075125612,162.10149147109058,159.98096393092405,157.85022059543044,98.50388400004147,120.61166412370643,28.292,21.472,102.273,102.616,144.162,150.0,133.884,129.441,0.012,0.004
111,1.8514000000000002,130.199,1.886,14.286,159.10670423414643,163.99933628024036,159.94136477929504,155.25349781524838,98.80381848946377,127.9508415751194,26.336,26.617,99.714,108.567,142.23,150.0,129.543,108.916,0.012,0.003
112,1.868,127.438,1.702,14.011,159.17007335532864,166.04940778835913,159.85934141769457,151.12915271765613,98.14926994472194,135.30459653653114,24.727,29.999,97.288,112.565,142.372,150.0,129.149,117.894,0.011,0.006
113,1.8847000000000003,125.176,1.457,13.84,159.43680335420444,167.7071900973001,159.73721517222967,145.74493955986065,97.11119757168167,141.84170597998084,24.128,32.165,95.968,115.857,142.669,150.0,128.745,110.324,0.011,0.004
114,1.9014,121.273,1.358,12.933,159.9640579728878,168.57816468276866,159.61765033170224,139.91673000317195,96.08197026910864,146.73150989720912,22.562,30.424,95.294,115.149,140.286,150.0,135.141,115.749,0.009,0.003
115,1.9181000000000001,120.843,1.39,12.401,160.82235088680534,168.58667230922055,159.5667410648378,134.59564386925422,95.13830802794365,149.45807259632667,22.768,26.883,95.789,112.656,138.644,150.0,139.709,117.32,0.008,0.003
116,1.9348000000000003,118.529,0.993,11.065,162.000321425486,167.96599664466459,159.61765033170224,130.3729143429975,94.11593700812315,150.01411479756695,23.311,23.064,95.267,110.842,140.357,150.0,135.51,132.231,0.009,0.002
117,1.9514000000000002,117.857,0.733,10.661,163.3306589220134,167.11908080259406,159.73721517222967,127.3561628286499,92.84705527356559,148.8464826571062,22.959,25.411,94.627,114.532,140.578,150.0,135.495,135.361,0.009,0.006
118,1.9681,117.018,0.452,9.581,164.5281884950213,166.41079003479462,159.85934141769457,125.40416631033176,91.3404966272205,146.64440553702815,22.036,25.397,92.592,116.78,141.242,150.0,138.213,140.658,0.008,0.005
